                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71444,                0.69749,                0.92936,                0.93877,                0.90507,                0.93266,                0.67602,                0.64122,                0.64228,                0.91519,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 0.7127,                0.69484,                0.94363,                0.91913,                0.91173,                0.93599,                0.66935,                0.64079,                0.63957,                0.91818,             0.00012352,             0.00012352,             0.00012352
                      3,                0.68809,                0.66126,                0.92423,                0.92419,                0.91555,                0.93747,                0.67287,                0.66025,                0.63928,                0.92534,             0.00018422,             0.00018422,             0.00018422
                      4,                0.68923,                 0.6712,                0.92436,                0.94895,                0.89585,                 0.9407,                0.68362,                0.62217,                0.62543,                0.91234,             0.00023925,             0.00023925,             0.00023925
                      5,                0.69403,                0.66356,                0.92131,                0.94781,                0.90296,                0.93961,                0.69322,                0.61256,                0.61888,                0.90958,             0.00028864,             0.00028864,             0.00028864
                      6,                0.70297,                 0.6769,                0.94232,                0.92654,                0.92185,                0.94161,                0.69282,                0.60538,                0.61419,                0.90759,             0.00033236,             0.00033236,             0.00033236
                      7,                0.65552,                0.63347,                0.91387,                0.94283,                0.92309,                 0.9448,                0.69998,                0.59589,                0.60433,                0.90207,             0.00037042,             0.00037042,             0.00037042
                      8,                0.67064,                0.62925,                0.91496,                0.95016,                 0.9296,                0.94388,                0.70536,                0.61596,                0.61373,                0.90472,             0.00040282,             0.00040282,             0.00040282
                      9,                0.65884,                0.62397,                0.90202,                0.93509,                0.91769,                0.94246,                0.69301,                0.65136,                0.64053,                0.91968,             0.00042957,             0.00042957,             0.00042957
                     10,                0.66289,                0.62484,                0.91555,                0.94487,                 0.9247,                0.94392,                0.69958,                0.61838,                0.63708,                0.90901,             0.00045066,             0.00045066,             0.00045066
                     11,                0.67045,                0.62416,                0.90112,                0.95528,                0.92043,                0.94903,                0.70895,                 0.5995,                0.62228,                0.90226,             0.00046608,             0.00046608,             0.00046608
                     12,                0.63993,                 0.6145,                0.90746,                0.95389,                0.92337,                0.95254,                0.71092,                0.60205,                0.61115,                0.90418,             0.00047585,             0.00047585,             0.00047585
                     13,                 0.6512,                0.61449,                0.90316,                0.95207,                0.92269,                0.95177,                0.70867,                0.60818,                0.60774,                0.90677,             0.00047996,             0.00047996,             0.00047996
                     14,                0.64649,                0.61471,                0.91395,                0.95276,                0.92556,                0.95165,                0.70703,                 0.5948,                0.60074,                0.90587,             0.00047841,             0.00047841,             0.00047841
                     15,                  0.649,                0.61577,                0.90918,                0.95611,                0.93569,                0.95403,                0.71274,                0.58078,                0.59198,                0.90277,              0.0004712,              0.0004712,              0.0004712
                     16,                0.64179,                0.60645,                0.91174,                0.95686,                0.93214,                0.95486,                0.71116,                0.57971,                0.58666,                0.90316,             0.00045834,             0.00045834,             0.00045834
                     17,                0.64102,                0.59676,                0.90381,                0.95646,                 0.9439,                0.95709,                 0.7114,                0.58283,                 0.5804,                0.90277,             0.00043981,             0.00043981,             0.00043981
                     18,                0.63378,                0.59979,                0.90202,                0.95419,                 0.9451,                0.95848,                0.71809,                0.58045,                0.57731,                 0.9006,             0.00041563,             0.00041563,             0.00041563
                     19,                0.62409,                0.59052,                0.91545,                0.95685,                0.94124,                0.95874,                0.71854,                0.57439,                0.57042,                0.89845,             0.00038578,             0.00038578,             0.00038578
                     20,                0.64034,                0.59772,                0.90061,                 0.9633,                 0.9321,                0.95998,                0.72199,                0.57145,                0.55827,                  0.897,             0.00035028,             0.00035028,             0.00035028
                     21,                0.62873,                0.59323,                0.91112,                0.96358,                0.93048,                0.96035,                0.72302,                0.56696,                0.55576,                0.89529,             0.00029723,             0.00029723,             0.00029723
                     22,                0.62254,                0.58974,                0.90294,                0.96103,                0.93108,                0.96021,                0.72282,                0.56533,                0.55441,                0.89497,             0.00029723,             0.00029723,             0.00029723
                     23,                0.62146,                0.57862,                0.88247,                0.95843,                0.93474,                0.96066,                 0.7201,                0.57138,                0.55576,                0.89683,             0.00024064,             0.00024064,             0.00024064
                     24,                0.60215,                0.57175,                0.90001,                0.96021,                0.93203,                0.96053,                0.71989,                0.57673,                0.55929,                0.89745,             0.00018406,             0.00018406,             0.00018406
                     25,                0.62376,                0.57163,                0.90765,                0.96052,                0.93063,                0.96082,                0.72068,                0.57339,                0.55904,                0.89581,             0.00012747,             0.00012747,             0.00012747
