                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5205,                 3.8467,                 1.3324,                0.01791,                0.40207,                0.09134,                0.05466,                 1.1194,                 3.5986,                 1.0504,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.2483,                 3.3179,                 1.1263,                0.04422,                0.47826,                0.19667,                0.12044,                 1.0308,                 3.4423,                 0.9828,             0.00012352,             0.00012352,             0.00012352
                      3,                 1.1079,                 2.2129,                 1.0389,                0.06176,                0.41437,                0.21348,                0.12865,                 1.0166,                 3.1356,                0.94773,             0.00018422,             0.00018422,             0.00018422
                      4,                0.98163,                 1.2311,                 1.0069,                0.95871,                0.11937,                0.23182,                0.15512,                0.99538,                  2.788,                0.95699,             0.00023925,             0.00023925,             0.00023925
                      5,                0.91122,                 1.0603,                0.98134,                0.97567,                0.09575,                0.26306,                0.19419,                0.91401,                 2.5257,                0.96543,             0.00028864,             0.00028864,             0.00028864
                      6,                0.84696,                 1.0316,                0.99113,                0.96516,                0.09436,                0.25836,                0.19145,                 0.9397,                 2.4901,                0.97143,             0.00033236,             0.00033236,             0.00033236
                      7,                0.79499,                0.93118,                0.96957,                0.95818,                0.15978,                0.25103,                0.18636,                0.98701,                 2.4621,                 1.0232,             0.00037042,             0.00037042,             0.00037042
                      8,                0.80979,                 0.9541,                0.99367,                0.94482,                0.16069,                0.25087,                0.19452,                 0.9273,                 2.4696,                0.99682,             0.00040282,             0.00040282,             0.00040282
                      9,                0.75874,                0.90804,                0.96388,                0.93675,                0.16494,                0.24464,                0.18786,                0.94289,                 2.4492,                0.99897,             0.00042957,             0.00042957,             0.00042957
                     10,                0.76566,                0.86487,                0.95365,                0.95917,                0.16335,                0.26623,                0.20614,                0.89062,                 2.2795,                0.98727,             0.00045066,             0.00045066,             0.00045066
                     11,                0.76425,                0.84961,                0.95047,                0.96348,                 0.1829,                0.27618,                0.21213,                0.94473,                  2.189,                  1.012,             0.00046608,             0.00046608,             0.00046608
                     12,                0.68288,                0.80763,                0.93202,                0.96027,                0.18825,                0.27969,                0.22163,                0.82821,                 2.1364,                 0.9641,             0.00047585,             0.00047585,             0.00047585
                     13,                0.65828,                0.78755,                0.92092,                0.96027,                0.19001,                0.28363,                 0.2236,                0.83196,                 2.0991,                0.97188,             0.00047996,             0.00047996,             0.00047996
                     14,                0.71274,                0.79656,                0.92434,                0.95571,                0.22776,                0.28622,                0.22865,                0.81282,                 2.0086,                0.96752,             0.00047841,             0.00047841,             0.00047841
                     15,                0.67522,                0.76631,                  0.913,                0.95792,                0.24887,                0.28902,                0.23051,                 0.8631,                 1.9295,                0.97494,              0.0004712,              0.0004712,              0.0004712
                     16,                0.69899,                0.89596,                0.93567,                 0.9627,                0.24748,                0.28979,                0.22888,                0.86176,                 1.9445,                0.98162,             0.00045834,             0.00045834,             0.00045834
                     17,                0.66324,                0.81686,                0.93552,                 0.9227,                 0.2108,                0.27277,                0.22541,                0.78275,                  1.948,                0.95006,             0.00043981,             0.00043981,             0.00043981
                     18,                0.66473,                0.83675,                0.94291,                0.95372,                0.21144,                0.28466,                0.23331,                0.77204,                 1.8943,                0.94301,             0.00041563,             0.00041563,             0.00041563
                     19,                0.63962,                0.83021,                0.92647,                0.96343,                0.24456,                0.29667,                0.24308,                0.75874,                 1.7886,                0.93395,             0.00038578,             0.00038578,             0.00038578
                     20,                 0.6361,                0.81479,                0.93059,                0.97435,                 0.3153,                0.31748,                0.26746,                0.71662,                 1.4483,                0.92067,             0.00035028,             0.00035028,             0.00035028
                     21,                0.63182,                0.78361,                 0.9279,                0.97662,                0.31767,                  0.319,                0.27174,                 0.6939,                 1.3393,                0.92057,             0.00029723,             0.00029723,             0.00029723
                     22,                  0.622,                0.77138,                 0.9326,                0.97467,                0.31681,                0.31912,                0.27458,                0.67275,                 1.2844,                0.91791,             0.00029723,             0.00029723,             0.00029723
                     23,                0.55806,                 0.7343,                0.88562,                0.97525,                0.31478,                0.31933,                0.27514,                0.66409,                 1.2331,                0.91598,             0.00024064,             0.00024064,             0.00024064
                     24,                0.57709,                  0.739,                0.91562,                0.97658,                0.31407,                0.31912,                0.27509,                0.66409,                 1.1607,                0.91932,             0.00018406,             0.00018406,             0.00018406
                     25,                0.57201,                0.72737,                0.90552,                0.97626,                0.31576,                0.31917,                0.27534,                0.65839,                 1.1388,                   0.92,             0.00012747,             0.00012747,             0.00012747
