                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7899,                 2.6701,                 1.9356,                0.76491,                0.06887,                 0.0416,                0.01514,                  3.028,                 3.9548,                 2.2971,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 2.3758,                 2.1501,                 1.7502,                0.33783,                0.16324,                0.16297,                0.06541,                 2.9883,                 2.6772,                 2.1491,             0.00012352,             0.00012352,             0.00012352
                      3,                  1.861,                  1.719,                 1.5358,                0.89578,                0.19968,                0.21283,                0.09578,                 2.7184,                 2.4771,                 1.9925,             0.00018422,             0.00018422,             0.00018422
                      4,                 1.5379,                 1.4677,                 1.3522,                0.86718,                 0.1906,                0.23317,                0.11288,                 2.4954,                  2.429,                 1.8334,             0.00023925,             0.00023925,             0.00023925
                      5,                 1.3857,                 1.3059,                 1.2488,                0.83598,                0.18764,                0.27808,                0.16418,                 2.0049,                   2.24,                 1.5764,             0.00028864,             0.00028864,             0.00028864
                      6,                 1.2495,                 1.1928,                 1.1666,                0.81884,                0.22875,                0.33285,                0.19202,                 1.7884,                 2.0933,                 1.4911,             0.00033236,             0.00033236,             0.00033236
                      7,                 1.1073,                  1.067,                   1.11,                0.87597,                0.28571,                0.39683,                0.24073,                 1.5566,                 1.8711,                 1.3818,             0.00037042,             0.00037042,             0.00037042
                      8,                 1.0258,                0.99607,                 1.0512,                 0.9069,                0.32078,                0.44239,                0.27077,                 1.4303,                  1.763,                 1.3242,             0.00040282,             0.00040282,             0.00040282
                      9,                 0.9979,                 0.9245,                  1.021,                 0.9142,                0.39516,                0.54384,                0.33189,                  1.342,                 1.6969,                 1.2979,             0.00042957,             0.00042957,             0.00042957
                     10,                0.94075,                0.88906,                 1.0043,                0.90211,                0.52736,                0.65084,                 0.4109,                 1.2388,                 1.5313,                 1.2172,             0.00045066,             0.00045066,             0.00045066
                     11,                0.91579,                0.85585,                0.97502,                0.85741,                 0.6404,                0.72517,                0.47749,                 1.1504,                 1.4029,                  1.165,             0.00046608,             0.00046608,             0.00046608
                     12,                0.85986,                0.81501,                 0.9758,                0.88222,                0.68817,                0.78674,                0.52969,                 1.0286,                 1.2838,                 1.1336,             0.00047585,             0.00047585,             0.00047585
                     13,                0.84686,                0.79943,                0.96064,                 0.8824,                0.73301,                0.82886,                0.55064,                0.97811,                 1.2005,                 1.1088,             0.00047996,             0.00047996,             0.00047996
                     14,                0.81657,                0.77922,                  0.963,                0.91908,                0.81377,                0.88531,                0.58306,                0.86936,                 1.0238,                 1.0454,             0.00047841,             0.00047841,             0.00047841
                     15,                0.83804,                0.76336,                0.96695,                0.92575,                0.82512,                0.90624,                0.60662,                0.81523,                0.91031,                  1.021,              0.0004712,              0.0004712,              0.0004712
                     16,                0.78725,                0.74862,                0.95315,                0.93363,                0.85159,                0.91464,                0.60718,                0.82348,                0.88904,                 1.0265,             0.00045834,             0.00045834,             0.00045834
                     17,                0.79017,                0.72876,                0.94903,                0.92474,                0.85343,                 0.9162,                0.61609,                0.81001,                0.87808,                 1.0162,             0.00043981,             0.00043981,             0.00043981
                     18,                0.76428,                 0.7194,                0.93592,                 0.9277,                0.85531,                0.91941,                0.62437,                0.75292,                0.84353,                0.99005,             0.00041563,             0.00041563,             0.00041563
                     19,                0.73315,                0.70373,                0.93988,                0.93536,                 0.8623,                 0.9212,                0.63377,                0.71511,                0.80571,                0.97293,             0.00038578,             0.00038578,             0.00038578
                     20,                  0.755,                0.70098,                0.92658,                0.94482,                 0.8607,                0.92237,                0.63338,                0.69476,                0.75148,                0.96372,             0.00035028,             0.00035028,             0.00035028
                     21,                0.74845,                0.71032,                0.94041,                0.94366,                0.86306,                0.92185,                0.63655,                0.69174,                0.73415,                0.96173,             0.00029723,             0.00029723,             0.00029723
                     22,                0.72793,                0.68815,                0.93121,                0.94132,                 0.8682,                0.91976,                0.64173,                0.69067,                0.71584,                0.96035,             0.00029723,             0.00029723,             0.00029723
                     23,                0.73524,                0.68848,                0.91592,                 0.9442,                0.86716,                0.92289,                0.64047,                0.70459,                0.70857,                0.96479,             0.00024064,             0.00024064,             0.00024064
                     24,                0.70466,                0.66152,                  0.934,                0.94318,                0.86427,                0.92416,                0.64274,                0.69994,                0.68682,                0.96165,             0.00018406,             0.00018406,             0.00018406
                     25,                0.70732,                0.65808,                0.91812,                0.93654,                0.87009,                0.92441,                0.64691,                0.69328,                0.67934,                0.95844,             0.00012747,             0.00012747,             0.00012747
