                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 3.7457,                 1.2634,                0.01769,                0.39404,                0.09984,                0.06401,                 1.1312,                 3.5974,                 1.0509,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.1345,                 3.2651,                 1.0915,                 0.0413,                0.40016,                 0.1889,                0.12708,                  1.028,                 3.4787,                0.98066,             0.00012352,             0.00012352,             0.00012352
                      3,                 1.0308,                 2.2773,                 1.0134,                 0.9383,                0.14175,                0.22783,                0.13307,                0.98749,                 3.1387,                0.94821,             0.00018422,             0.00018422,             0.00018422
                      4,                0.91766,                 1.3002,                0.97522,                0.93952,                 0.1238,                0.26533,                0.17559,                 1.0035,                 2.6967,                0.97493,             0.00023925,             0.00023925,             0.00023925
                      5,                0.85518,                 1.0861,                0.95484,                0.97973,                0.12916,                0.29197,                0.21524,                0.91286,                 2.3625,                0.96175,             0.00028864,             0.00028864,             0.00028864
                      6,                0.76987,                0.99685,                 0.9348,                 0.9869,                0.16397,                0.28935,                 0.2261,                0.87286,                 2.2726,                0.96207,             0.00033236,             0.00033236,             0.00033236
                      7,                0.71184,                0.91558,                0.92167,                0.94296,                0.17522,                0.30037,                0.22807,                0.91397,                  2.232,                0.98072,             0.00037042,             0.00037042,             0.00037042
                      8,                0.72844,                0.92182,                0.94692,                0.92665,                0.20335,                0.32139,                0.24453,                0.90362,                 2.1448,                0.96749,             0.00040282,             0.00040282,             0.00040282
                      9,                0.74451,                0.87809,                0.94708,                0.96589,                0.18966,                0.29511,                0.22092,                0.96091,                 2.1677,                 1.0161,             0.00042957,             0.00042957,             0.00042957
                     10,                0.71882,                0.82293,                0.92471,                0.83048,                0.19035,                  0.286,                0.21679,                0.91787,                 2.2197,                 1.0053,             0.00045066,             0.00045066,             0.00045066
                     11,                0.75505,                0.84963,                0.92764,                0.93372,                0.19709,                0.28497,                0.20922,                0.93163,                 2.1705,                 1.0008,             0.00046608,             0.00046608,             0.00046608
                     12,                0.68699,                0.80254,                0.91571,                0.93499,                0.24036,                0.33405,                   0.24,                0.81374,                 1.9895,                0.96252,             0.00047585,             0.00047585,             0.00047585
                     13,                0.68171,                0.75369,                0.90422,                0.92507,                0.27988,                0.38078,                0.27779,                0.80553,                 1.8907,                0.96056,             0.00047996,             0.00047996,             0.00047996
                     14,                0.66972,                0.78243,                0.91178,                0.95771,                0.32931,                0.44245,                0.31683,                0.85407,                 1.7073,                0.96506,             0.00047841,             0.00047841,             0.00047841
                     15,                0.65335,                0.77127,                0.89734,                0.95231,                 0.3586,                0.47257,                0.34411,                0.80718,                 1.5654,                0.95098,              0.0004712,              0.0004712,              0.0004712
                     16,                0.61234,                0.80247,                0.88968,                 0.9562,                0.38354,                0.48166,                0.34438,                0.78998,                 1.5443,                0.94745,             0.00045834,             0.00045834,             0.00045834
                     17,                0.63999,                0.80027,                0.89582,                0.90149,                0.39802,                0.46392,                0.32601,                0.78358,                 1.5792,                0.94831,             0.00043981,             0.00043981,             0.00043981
                     18,                0.59753,                0.78058,                0.88542,                0.90586,                0.40105,                0.46849,                0.33327,                 0.7635,                 1.5155,                0.94091,             0.00041563,             0.00041563,             0.00041563
                     19,                0.59908,                0.77651,                0.88651,                0.94943,                0.40524,                0.49607,                0.35693,                0.75897,                 1.3879,                0.93472,             0.00038578,             0.00038578,             0.00038578
                     20,                0.55871,                0.72317,                0.88601,                0.95255,                0.47666,                0.60804,                0.42905,                0.71264,                 1.1476,                0.92971,             0.00035028,             0.00035028,             0.00035028
                     21,                0.55942,                0.70059,                0.87524,                0.93293,                0.49489,                0.65331,                0.45818,                0.68432,                 1.0758,                0.92719,             0.00029723,             0.00029723,             0.00029723
                     22,                 0.5679,                0.70481,                0.89326,                0.91914,                0.49854,                0.68693,                0.47888,                0.65661,                  1.039,                0.92232,             0.00029723,             0.00029723,             0.00029723
                     23,                0.53242,                0.66375,                0.85676,                0.90413,                0.51341,                0.72141,                0.49534,                0.64047,                0.99991,                0.91814,             0.00024064,             0.00024064,             0.00024064
                     24,                0.54379,                0.69622,                 0.8762,                0.88963,                0.54749,                0.74691,                0.51366,                0.63799,                0.95527,                0.91689,             0.00018406,             0.00018406,             0.00018406
                     25,                0.53513,                0.67848,                0.87991,                0.86013,                0.57126,                0.75395,                0.52094,                0.63624,                0.93163,                 0.9172,             0.00012747,             0.00012747,             0.00012747
