                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4408,                 3.7956,                 1.2726,                 0.0182,                0.44452,                0.10602,                0.06722,                 1.1096,                  3.566,                 1.0417,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.2495,                 3.3792,                 1.1151,                0.04334,                0.53494,                0.20863,                0.13348,                 1.0542,                 3.4114,                0.98021,             0.00012352,             0.00012352,             0.00012352
                      3,                 1.1334,                 2.3864,                 1.0349,                0.06245,                 0.4331,                  0.223,                0.13376,                 1.0134,                 3.0868,                0.94136,             0.00018422,             0.00018422,             0.00018422
                      4,                0.99938,                 1.3901,                0.98771,                0.94298,                0.14968,                0.24989,                0.16166,                 1.0031,                 2.6714,                0.94679,             0.00023925,             0.00023925,             0.00023925
                      5,                0.94045,                  1.185,                 0.9707,                0.93726,                0.13479,                0.27928,                0.20684,                0.90462,                 2.2394,                0.92697,             0.00028864,             0.00028864,             0.00028864
                      6,                0.89041,                 1.0727,                0.97469,                0.98726,                0.17374,                0.31344,                0.24138,                0.83938,                 2.0919,                0.92473,             0.00033236,             0.00033236,             0.00033236
                      7,                 0.8036,                0.99187,                0.93391,                0.98588,                0.17963,                0.57655,                0.42588,                0.80598,                 2.0306,                0.93335,             0.00037042,             0.00037042,             0.00037042
                      8,                0.79872,                0.94867,                0.95238,                0.98734,                0.33327,                0.61568,                0.45045,                0.79146,                 1.8875,                0.92927,             0.00040282,             0.00040282,             0.00040282
                      9,                0.86607,                 0.9464,                0.98855,                0.98825,                0.38362,                0.61805,                0.45808,                0.78445,                 1.8184,                0.91627,             0.00042957,             0.00042957,             0.00042957
                     10,                0.79698,                0.89332,                 0.9504,                0.98541,                0.28349,                0.61865,                0.46109,                0.76425,                 1.8102,                0.91002,             0.00045066,             0.00045066,             0.00045066
                     11,                0.81935,                0.88578,                0.93185,                0.97906,                0.29355,                0.61864,                0.46626,                0.79071,                 1.6456,                0.91916,             0.00046608,             0.00046608,             0.00046608
                     12,                0.75313,                0.85505,                0.93174,                0.96718,                0.51092,                0.66918,                0.50946,                0.69286,                 1.4739,                0.90393,             0.00047585,             0.00047585,             0.00047585
                     13,                 0.7124,                 0.7932,                0.90724,                0.96155,                 0.5285,                0.73461,                 0.5415,                0.67122,                 1.4302,                0.90293,             0.00047996,             0.00047996,             0.00047996
                     14,                0.76332,                 0.8182,                  0.927,                0.56546,                0.59449,                0.77813,                0.56492,                0.65353,                 1.3301,                0.89857,             0.00047841,             0.00047841,             0.00047841
                     15,                0.75658,                0.81682,                0.93289,                0.66054,                0.74907,                  0.798,                0.56641,                0.68496,                 1.2692,                0.89399,              0.0004712,              0.0004712,              0.0004712
                     16,                 0.7103,                0.83091,                0.90663,                0.72034,                0.80051,                0.81812,                0.58375,                0.68883,                 1.2719,                 0.8974,             0.00045834,             0.00045834,             0.00045834
                     17,                0.71488,                0.84683,                0.90361,                0.89077,                 0.8307,                0.92277,                 0.6555,                0.65098,                 1.2202,                0.89711,             0.00043981,             0.00043981,             0.00043981
                     18,                0.69482,                0.85845,                0.90961,                0.92555,                0.84318,                 0.9397,                0.67034,                0.63824,                 1.1783,                0.89232,             0.00041563,             0.00041563,             0.00041563
                     19,                0.68072,                0.80757,                0.90231,                0.93737,                0.87637,                0.94937,                 0.6778,                0.63396,                 1.1288,                0.88866,             0.00038578,             0.00038578,             0.00038578
                     20,                0.68269,                 0.7959,                0.90894,                0.93515,                0.88125,                0.94947,                0.70869,                0.62169,                 1.0196,                0.88522,             0.00035028,             0.00035028,             0.00035028
                     21,                 0.6544,                0.75648,                0.90538,                0.92859,                0.88617,                0.94431,                0.70928,                0.59708,                0.95944,                 0.8835,             0.00029723,             0.00029723,             0.00029723
                     22,                0.62595,                 0.7217,                0.88327,                0.91057,                0.88433,                0.94831,                0.70957,                0.58388,                0.89775,                0.88264,             0.00029723,             0.00029723,             0.00029723
                     23,                0.62382,                0.71418,                0.88303,                0.91378,                0.89384,                0.95284,                0.71691,                0.56819,                0.84953,                0.87979,             0.00024064,             0.00024064,             0.00024064
                     24,                0.64359,                0.73012,                0.90008,                0.91223,                0.92059,                 0.9615,                0.72555,                0.56632,                0.79647,                0.87883,             0.00018406,             0.00018406,             0.00018406
                     25,                0.61835,                0.71032,                0.88554,                0.92609,                0.92479,                0.96795,                0.73548,                0.56449,                 0.7766,                0.87779,             0.00012747,             0.00012747,             0.00012747
