                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67074,                0.63759,                0.91972,                0.96262,                0.93332,                 0.9609,                0.72583,                0.57317,                0.55268,                0.88593,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                0.68144,                0.63259,                0.95095,                0.95896,                0.94293,                0.96254,                0.72412,                0.56975,                0.55485,                 0.8819,             0.00012352,             0.00012352,             0.00012352
                      3,                0.62943,                 0.6198,                0.90442,                0.96984,                0.94276,                0.96616,                0.73427,                0.57084,                0.56753,                0.88462,             0.00018422,             0.00018422,             0.00018422
                      4,                0.62662,                0.60551,                0.90679,                0.95193,                0.94628,                0.96806,                0.73369,                0.55951,                0.55848,                0.88273,             0.00023925,             0.00023925,             0.00023925
                      5,                0.62659,                0.61213,                0.90812,                0.96766,                0.93809,                0.96861,                0.72734,                 0.5543,                0.53589,                0.88193,             0.00028864,             0.00028864,             0.00028864
                      6,                0.66907,                0.63939,                0.93282,                0.96033,                0.95816,                0.96934,                0.73526,                 0.5513,                0.53365,                0.87968,             0.00033236,             0.00033236,             0.00033236
                      7,                0.62983,                0.59344,                0.91875,                  0.972,                0.96152,                0.97158,                0.74281,                0.56328,                0.52706,                0.88044,             0.00037042,             0.00037042,             0.00037042
                      8,                 0.6246,                0.61217,                0.90913,                0.97294,                0.96193,                 0.9738,                0.73715,                0.57732,                0.53149,                0.88292,             0.00040282,             0.00040282,             0.00040282
                      9,                0.66665,                0.62713,                0.91333,                 0.9725,                0.97734,                0.97573,                0.73484,                0.56373,                0.54763,                0.88221,             0.00042957,             0.00042957,             0.00042957
                     10,                0.62608,                0.61796,                0.90953,                0.97182,                0.97618,                0.97373,                0.73318,                0.53851,                0.54546,                0.87659,             0.00045066,             0.00045066,             0.00045066
                     11,                0.64075,                0.61031,                0.90084,                0.96271,                 0.9697,                0.97258,                0.73329,                0.53647,                0.53993,                0.87706,             0.00046608,             0.00046608,             0.00046608
                     12,                0.62407,                 0.5924,                0.92043,                0.95762,                0.97226,                0.97327,                0.73592,                0.55644,                0.54145,                0.88014,             0.00047585,             0.00047585,             0.00047585
                     13,                0.62676,                0.61064,                0.90359,                0.96888,                0.97504,                0.97312,                0.73994,                0.56718,                0.53551,                0.88011,             0.00047996,             0.00047996,             0.00047996
                     14,                0.65469,                0.60419,                0.92957,                0.97057,                0.97746,                0.97539,                0.73938,                0.56838,                0.53033,                0.87795,             0.00047841,             0.00047841,             0.00047841
                     15,                0.64089,                0.60354,                0.91947,                0.96629,                0.97432,                0.97076,                0.74111,                0.55608,                0.52662,                0.87565,              0.0004712,              0.0004712,              0.0004712
                     16,                0.63063,                0.59552,                0.92171,                0.96685,                 0.9743,                0.97007,                0.74516,                0.55431,                0.52716,                0.87591,             0.00045834,             0.00045834,             0.00045834
                     17,                 0.6203,                0.59123,                0.89553,                0.97338,                0.97482,                0.97326,                0.74669,                0.55396,                0.53564,                 0.8771,             0.00043981,             0.00043981,             0.00043981
                     18,                0.62514,                0.59279,                0.90427,                0.97557,                0.97536,                0.97309,                0.74607,                0.55631,                0.53826,                0.87895,             0.00041563,             0.00041563,             0.00041563
                     19,                0.62714,                0.59486,                 0.9232,                0.97468,                0.97597,                0.97369,                 0.7422,                0.56358,                0.53771,                0.88159,             0.00038578,             0.00038578,             0.00038578
                     20,                0.63465,                 0.6122,                0.90765,                0.97115,                0.97626,                0.97489,                 0.7349,                 0.5766,                0.54391,                0.88643,             0.00035028,             0.00035028,             0.00035028
                     21,                0.62495,                0.59691,                0.91792,                 0.9717,                0.97607,                0.97537,                0.73492,                0.57032,                0.54188,                0.88515,             0.00029723,             0.00029723,             0.00029723
                     22,                0.58898,                0.56953,                0.89677,                0.97104,                 0.9764,                0.97577,                0.73721,                0.56195,                0.53451,                0.88314,             0.00029723,             0.00029723,             0.00029723
                     23,                0.61324,                0.58382,                 0.8835,                0.97169,                0.97604,                0.97565,                0.73735,                0.56166,                 0.5291,                0.88333,             0.00024064,             0.00024064,             0.00024064
                     24,                 0.5998,                0.58139,                0.90518,                0.97229,                0.97657,                0.97598,                 0.7398,                0.55438,                0.51718,                0.88118,             0.00018406,             0.00018406,             0.00018406
                     25,                0.60553,                0.56803,                0.90655,                0.97485,                0.97671,                 0.9761,                0.74139,                0.54965,                0.51163,                0.87974,             0.00012747,             0.00012747,             0.00012747
